,blog
10,"The campground is quite small and cramped with vans, cabins, tents... today (the 27th) is Labor Day. HAd a good night sleep and for breakfast a ham and egg sandwich with a bowl of cafe au lait. And it all passed the gut test! yes! First coffee in almost a week - since the mussel incident. Hopefully I wont be whining and complaining about illnesses or mishaps in this journal for a while. Note: Canada will be playing its last rugby game of the World Cup Wednesday, which should still be tuesday back home, against Tonga. Should be a good one. Biked to Ngongotaha (10k)to fish late in the morning (usually not the best time...). There are small 2 streams that can be fished for a few 100 meters to their mouths in Lake Rotorua. The first stream had a few tires in it and a load of litter nearby, including an abandoned car. Not a pretty sight, but still, in a bend a little further down there were 2 dozen fish, stacked in the stream. Fished the hole with many different flies, nothing would make them move. I was about to move along when a man, maybe 50 with his son, maybe 12, showed-up. I let them have the hole and looked along... nothin'. The chap was Mike and his son Kyle. We had a good talk. He was from South Africa and by he told me he practically moved to NZ for the fishing! We traded flies, he gave me advice on where, when, how to fish the area - merci Mark! I checked-out other fishing holes, saw a few anglers and none caught a fish. Cooked me some dinner, hit the hot pools before sleep, beauty. Keep yer heads above water when in a hot mineral pool - or else ya might get amoebic meningitis. Sounds pretty nasty and serious and it is (something about an amoeba going through yer nose or ears and making its way to your brain...). Tuesday october 28th. Its raining cats n'dogs. Did not go fishing but enjojed the parks, the museum and orchid gardens. The vents in the parks are even more spooky in this weather. Tonite I go for the maori concert / hangi (feast) combo. A must do if yer budget aint too tight. A lot of outfits offer the combo. Some are likely better than others.  Tomorrow I head for Wellington, gateway for the South Island, a step further in this trip. I am a bit anxious to get back on my bike. The road from Picton (ferry terminal) to Christchurch aint the most exciting one, but it will be good to get back in shape. * The Hangi and concert were excellent. I ate lots and it all digested well. The performances were done with Mana - enthusiasm, pride and honor. Nothing tacky - well maybe the souvenirs but still very nice. I may just build a hangi oven back home. If you ever are in Rotorua and have the dineros, do it!       "
11,"The bus ride took almost all day, from 8:45 in the morning to 4:30 PM. The roads taken were roads that I had originally thought of taking, but plans are made to be changed. Between Turangi and Waiouru (south of Taupo) is a stretch of highway called Desert Highway, about 65 Km long. It is desolate, some good and winding hills and military training grounds on either side. It is not very inviting for a bicycle. I also saw a few 'cyclotouristes' on the road. I've seen maybe 4 couples or small groups so far, all since taking the bus. In Wellington I have an address, a friend of my brother's that I once sold corn with, about 15 years ago: Kirby (and Susan). Kirby and Susan live about 15 Km out of Wellington, to the North in Waiuiomata. I took the train to Lower Hutt, which is about 5 Km from Waiuiomata, just to avoid traffic and the motorway. The thing is between Lower Hutt and Waiuiomata, there is a pretty long and sometimes steep hill to climb. I wasn't prepared for that. I called Kirby, no answer. Destiny wants me to go over this hill by my own means - and I do need the exercise. Top off the water bottles and away we go. The climb was not too bad. Stopped a few times (reminded me of Te Motu hill) and this chap biked by me, going uphill, we exchanged short polite smiles. The hill is also a 6-lane road, lots of fumes from the cars and trucks - tough on the lungs. Not much of a shoulder. Glad I have my orange vest. Kirby had warned me of the hill in a previous e-mail, but I had forgotten about it... Did make it to the top and the chap that had passed me was there taking a breather. We had a chat and he told me to give him a call if my plans for accomodation did not work out (I still had not yet spoken to Kirby). Made it to my home for the night, greeted by Susan and Kirby, had a nice evening talking science, travelling, food poisoning... really nice.  Thursday morning Kirby brewed some coffee, showed me around the garden, the trees and took me for a tour of town. Actually, I'm a bit tired so I'll log this some other time. Some other time starts here: Yes, Kirby gave me a tour of Wellington, including Victoria Hill (is that the name?, I dont have my map in the Internet joint at the moment). Anyway, its THE place to have a look at Wellington from above. A great tour, merci Kirby. Got to see where all the faults pass through Wellington (including where the main motorway, the train lines, the water mains all follow the Wellington Fault (!), the Wellington airport with water at both ends and hills on either side - apparently the 2 things pilots dislike the most in an airport). Yes, Wellngton is a special place to live! Susan works in geophysics, so its appropriate for her! In the afternoon I visited the new NZ National Museum. It is huge, many exhibition halls, and free. I spent a good 3 hours wandering here and there. I tired to have a look in each hall, but I'm pretty sure I missed a few. Not only is it big, but its like an Ikea store - mazelike. I wanted to taste paua, a local shellfish, but its kinda rare so I had a paua fritter in a fish n' chip joint. I was served this four-inch wide, half-inch thick round, dark brown, heavy puck. Awful. Must be better paua out there somewhere. Tomorrow is Halloween. Halloween is not very big here - no trick or trating or decorations on houses but Susan and Kirby are throwing a Halloween party tomorrow. I am welcome to stay, but if the weather is nice, the call of the chamois will be hard to resist. Last but not least, I watched Canada win their rugby match against Tonga, 24-10 or something like that. The team captain, Al Charron, 37, the team veteran, back from serious knee injury a few months ago to make it for the World Cup was playing his last career game. And just like in the movies, halfway into the second half he got nailed. A clean hit. A hard hit. He was out cold lying on his back, still, blood trickling out of his mouth. The play stopped, got him out on a stretcher. The next day I typed 'Al charron rugby injury' into Google. He was fine.     "
12,"Once in Picton we all went our merry ways, Angelika and Phil left quickly for Ward (75 K), which is in the same direction, but farther than my destination: Blenheim (30K) for wine-tasting. I had a bite to eat before the ride. There was a beautiful tailwind, blue skies, comfortable weather, nice road with no serious hills. It was great to be back on the road. And I forgot my orange vest in Wellington. Note to self: Will have to get a vest in Christchurch. When I made it to Blenheim, I saw Angelika and Phil getting ready to head out after a breather. I stopped to see them, pondered... beautiful riding conditions with nice folks or wine tasting? Hmmmm... The riding won.  We rode at a leisurely pace, enjoying the tailwind and the beautiful weather. One of the best moments was approaching the top of a hill where the road passed in a trench. The view across the trench was awsome, a window on snow-capped mountains with dark, multi-textured clouds at their top. It was unreal. Made it to Ward, shared a bottle of wine and enjoyed the evening. Tomorrow's forecast calls for nice weather and northerly winds = tailwind. Beauty. We should make it to Kaikoura tomorrow... swim with dolphins? Have a crayfish (langouste)dinner? Could be a nice and expensive stay. Ya only live once. Half moon in the sky with tapestry of stars. Cant help but hum 'Moonlight Desires' by Gowan.           "
13,"What a beautiful day. Woke-up to a tough nights sleep. My ribs really hurt when I run or lay dow to rest, or move lying down - but it was a great day. HAd my daily Cafe au Lait in a tea room accross the campground with some bacon and egg pie and an apple turnover. Angelika and Phil joined me while I was talking with a farmer: Crops, sheep, subsidies, vines vs sheep... excelent. * Its noon, Gotta go see the dolphins! Well the dolphins got cancelled - the sea is too rough. So Angelika, Phil and I went for some lunch on the main in Kaikoura. Nice tempura calamari with a pint. Well wadda ya do when its beautiful outside and you have time to kill? (I chose to stay in Kaikoura till tomorrow to see if there could be a chance to swim with the dolphins tomorrow morning). Well ya ride yer bike around and Kaikoura is a good place to do just that. Wait a minute I'm logging day 33, not day 32! Yeah, day 32 now. Ward to Kaikoura. What a marvelous day. Hills to the right, ocean to the left, playing leapfrog with the rail line, tailwind, all kinds of flowers blooming and their scents filling the air. We stopped often for tea or to enjoy the sights or fix a flat tire (Phil - a ling rusty nail) and a broken rear derailleur cable. Actually we did not have a spare cable for the derailleur. Rumors had it that my jinx was contageous. The broken cable was on Angelika's bike. We blocked the derailleur in a middle speed and Angelika had a 3-speed bike with 40 Km to Kaikoura. Phil and I took turns at leading (the wind was now shifty) to give Angelika a break. Now that I think of it Angelika got attacked by magpies yesterday. Twice. One swooped down and the other dived twice onto her. Combine this to the flat tire and the broken deraileur cable - yeah, it does look like I am bad news! :)  The most spectacular stops were near Kaikoura where cliffs and rocky outcrops emerged from the sea, with heaps of seals sun bathing here and there. Some seemed to be fighting, fencing with their heads, others were swimming nearby in tidal pools. We spent quite some time just looking - as were 2 seal field workers, next to us. We also stopped so I could get a koura (crayfish / spiny lobster / langouste) in a roadside stand. I could already taste it, with a nice cold brew. All together now... all you need is beer, beer, beer is all you need... The koura was good, but not omigodthisisgood! good. Had it, one item checked off the to-do list. Nice dinner. Angelika, Phil and I got to know each other better. Thats nice. Kaikoura reminds me of a village back home: Tadoussac. Not a big place, lots of hostels, campgrounds, whale-watching and other sea-related activities on the menu. Tomorrow I may try to go swimming with dolphins... Cheers, rene         "
14,"After my morning cafe au lait, I headed back to the campground for extra sleep. Short sleep and wandered over to Angelika and Phil's caravan (not the best they had so far on their trip... the manager of the campground told Angelika and Phil 'Come with me and I'll show it to you - I want you to see it before paying for it'. Angelika was there and Phil arrived seconds after with 3 cups of coffee, one was for me :) Their whale watching trip was cut short cos the seas were a bit rough and clients were starting to change colors. Since no whales were sighted, the company offered a 90% discount for a second whale excursion tomorrow. Angelika and Phil will take it - and change campgrounds. I spent the rest of the morning in town, waiting for the dolphin swim, which Angelka and Phil also signed-up for. The swim was finally cancelled due to rough seas. As written yesterday, we had some lunch and I headed for the Kaikoura Peninsula. The Kaikoura peninsula is a very noce bike ride. At the end, there are walks, a seal colony and at low tide, a great rock shore to explore. Many sculpins, crabs, shrimp and shellfish in the tidal pools. Lots of good looking people too. Its a beautiful day. If you go to Kaikoura, explore around - its worth it. For supper I made myself a picnic by a beach, very windy but very enjoyable, overlooking the bay with sunset at my back. I had a huge hazelnut chocolate bar and devoured most of it. I suspect that all the nice people ;) I've been seeing lately are the cause of the chocolate feast. Finished the day by visiting Angelika and Phil who slept a fair part of the afternoon in their new accomodation. Watched rugby on the telly and shared green tea. They will be up early tomorrow to go whale watching and I will try to go see the dolphins, but not the 5:30 excursion, but the 8:30 one. Cheers, Rene       "
15,"I know some of you who know me will find me annoying with this, but the commentary of the staff was none too creative. That's too bad but hey, who needs to be creative to capture peoples attention when you have live, wild dolphins on the menu? Same old 'they weigh so much, eat this and that, migrate here, industrial pollution, blablabla ' I find it sad in a way. Never mentioned plastic bags, the greatest killer of the seas, which the Sydney Aquarium nicely stressed.  One thing they said that I liked though is that you, the diver, have to entertain the dolphin in order to get him to come and see you. If your're interesting, you have more chances of having one come by and even more chances to interact together. So we are out to sea, about 15 people on the boat, some dolphin watchers, but mostly dolphin swimmers. Dolphin swimmers wear wetsuits and 'palmes-masque-tuba'. The boat slows down, there are dolphins nearby. We all proceed to the back of the boat and the horn is heard. Time to jump in the cold water. And its cold. I felt my body contract at the contact of the cold water, not very comfortable. So I start swimming trying to hum a tune, but my body is a bit too tense right now. Humming a tune (making noise) is a good way to get dolphins curious and come and see. The water is a bit cloudy with what could be plankton, but the particles don't look alive  wonder what they   WO!! A dolphin just cruised by, at no more than a meter away and it is back out of sight in the lightly soupy water. Now that was impressive! Wanting to see more, I manage to hum a few bars of 'Tequila!'. Another dolphin shows up, and a second one, and another and  must have been 8 or so that passed me in a few seconds. One of them stayed a while and we swam in circles together. Tequila! Tequila! I saw many more dolphins, swam in circles with a few and noticed what may be the particles in the water  that's right, dolphin doo. I did not ask any of the staff, but I could imagine that 200 dolphins digesting together would make water a bit fuzzy. But don't take this for cash. We saw dolphins leap out of the water, do flips, the works. In the wild. Beauty. We dove twice in 2 different places. According to the staff, we had very nice swims. I believe that. On the bus heading back to Kaikoura, this bloke comes up to me and asks if I had been biking around the Coromandel  Why yes! It was Jane and Mark that I had met in Waihi Beach, the English couple on their round-the-world-honeymoon. To get over the sea-motion we had coffee back in town and a bite to eat. Nice. After 2 hours off the boat, I felt ready to bike to Cheviot and Gore Beach. Tailwind, blue skies, cliffs, spectacular coastal scenery. I had 54-40's One Day In Your Life playing on my personal jukebox. After 20 Km of coast, the road headed inland. Still sunny, but it was raining lightly - a few convection clouds were roaming nearby. Some of the raindrops were bouncing off the pavement  hmmm  rain does not bounce! It had started hailing, but did not last.  A few Km of hills later the winds shifted: cold, strong, steady southerlies. Just as I thought I was in the middle of nowhere, a sign by the road indicated a campground 1 Km off. Sounds good! I was 20-25 Km away from Cheviot. Too bad, these headwinds are too strong, medium-sized trees were now bending in the gusts. Anyway, very rustic but functional campground with free range chickens, une forge, horses, a bad-tempered peacock  you could have filmed a movie there. And that was a busy day.       "
16,"By the time I had everything packed, patchy, dark clouds were coming in, cold gusty southerly winds were blowing. As I was stretching a shuttle bus to Christchurch pulled in the farm's driveway. It had an empty bike rack welded to its trailer. I wondered if this was a sign to take it. I decided to go to Cheviot by bike and added extra layers of clothing - I was wearing half the clothes I had with me. The scenery is not as nice as the last few days. This combined to the punishing headwinds convinced me that it would be a good idea to bus it from Cheviot to Christchurch. In Cheviot, I have my coffee con leche and buy a bus ticket for the 1:05 pm bus for Christchrch. It is now 10:30 am so I have time to kill. The lady at the information center, Lindsey, pointed-out a few walks in the area. I headed for a nearby hill with a nice view of surrounding hills and the town below. The fields looked like lakes with the wind blowing through the grass, making waves. 1:15, I am tat the bus stop (Cheviot Tearooms) the bus comes down the road, but does not look like its gonna stop. I wonder if it's the right bus. I wave the bus driver as he slowly cruises by, he waves back and keeps on going. What the he.. just happened? It was the right bus and it didn't even stop - and this is a bus stop, not a pre-book bus stop! Go back to see Lindsey and she is upset and it shows when she calls the bus company (Intercity). There is another bus at 5:05 pm today. Lindsey stresses that there is a passenger waiting in Cheviot and that the driver better stop this time around. More time to kill so I go to Gore Beach. Gore Beach is a nice, off-the-main-road place, looks like a nice detour if you are traveling by this way. Beachfront campgrounds with minimum amenities and many summerhouses or homes on the hill. I head back to Cheviot Tearooms for 4:30, just to be safe with the bus. At 4:55 Lindsey calls the tearooms to tell me to wait for the bus on the opposite side of the road, just to be more visible. 5:05 no bus. 5:10 no bus. 5:15 no bus. 5:20 Lindsey stops by on her way home, I tell her that no bus has gone by. She goes back to her office to inquire on what is going on. A half hour later she comes back to tell me that she was told that the bus driver had stopped but there was no one there. What the he.., take 2! This is ridiculous! I think the second bus driver avoided the Cheviot Tearooms stop just to get back at Lindsey for telling them what she thought on the phone earlier. There is a 9:00 shuttle bus to Christchurch (not Intercity) and I am booked on it. More time to kill. I gotta say, Intercity  well, I wont say what I think of Intercity right now. I head for the pub, call my cousin to tell him that I will be in even later, have a meal, head for the roadside by the tearooms as the sun sets.  The shuttle bus stops right on time, there is only one other passenger and we head straight for Christchurch. My cousin is there to greet me, its great to be here, finally! Todays song is, well Mr. Cabdriver by Lenny Kravitz. But chage cabdriver for busdriver...     "
17,
18,"Thursday I worked on the journal and the pictures in the morning. I will need a high speed connection to get the pictures up, so that will probably be Monday. In the afternoon went into town, missed the Wizard (I'll explain what he is about once I see his performance) but still enjoyed the fine weather. Went to the Canterbury Museum - now thats a wonderful museum! The displays are very well done and the presentation is just ... just... well I really liked it. Simple, efficient and creative. From the asian collection to groundwater to the antarctic, simply great. For dinner my cousin and I went out with some freshly arrived guests from France. Indian. Ate like there was no tomorrow... Buuuuurrrp! And it was really good too. Friday (today), went for a ride toward Littleton, Christchurch's harbor town. Boy was it ever windy. Legs got sandblasted as we walked by the beach. My boxershors are really worn-out so got some new ones at The Warehouse - 'Where everyone gets a bargain'. Haircut as well. Its still windy outside. Time to eat homemade pizza by Dave, who we are also celebrating - he handed in his master's thesis today. Yessir! Cheers!
"
19,"So what have I done over the week-end? Friday was a night out, something I had not done in a long time. Saturday was dedicated to recovering and resting. Sunday we went for a hike, lunch and rest in the mountains. Now thats resting! This morning I looked at the international weather forecast in the paper. The high for today in Montreal will be -1oC. It will be 20oC here, with sweet springtime winds, picking-up the floral scents of the gazillion blooming flowers all over the place. A feast for the senses. What lies ahead? Well I'm in no rush to leave Christchurch. The itch to ride is there, but this resting is very appreciated and needed. My eyelids stopped popping/vibrating (sign of fatigue) yesterday. I will hit the road when I'll feel fully rested and when weather forecasts will be a bit more favorable. Its really windy these days. And my hosts are very kind and I feel welcome. Plus Dave will give me a few pointers on Indian/Thai cooking! :) After talking to many people and with the Pedallers Paradise guide book, here is the plan for further ridig: I should be busing to Geraldine, at the foothills of the Alps and make my way along the lakes to Queenstown, not for the adrenalin adventuring for which it is known for, but to catch a bus to Milford Sound and back. Then off to the west Coast and up to Picton for a return ferry to the North Island. And possibly a walk on glaciers in the Franz Josef area with my cousin. I dont expect to have much time left once back on the North Island. I'll try to squeeze a short bike ride from New Plymouth to Te Awamutu. This is what the plan looks like for now. And plans are made to be changed. Rene"
20,"In the last week, what did you do Rene? Rested, Walked around Christchurch, uploaded pictures, saw Betchadupa last night... time is flying. I gotta see more live shows back home. Never pitch your tent under a tree where birds feed. Rene"
21,About Christchurch... It is a very nice city - lots of gardens and flowers. I've never been in such a hard city to find your way around - orientation without a map is impossible. Its been windy all the time I was here and beware of the foehn (sp?) winds - hot and dry norwesters - they can be strong and it is a scientific fact that people can feel drowsy when it blows. Its been a blast and its now time to move on. Thanx to all who made this stop so enjoyable. rene             
22,"Cheers,  Rene"
23,"The bus driver was again very friendly, pointing-out sights of interest on the way. In Geraldine, I fueled-up on home-made chicken pie and a tiramusu ice cream cone (and it is as good as it sounds!). Hit the road with a light tail breeze - Yes! But I still felt like cr*p - out of shape. I knew it would happen, but This was painful, plus I had allergies giving me a hard time breathing. I did't think I could ride 40Km. As time went by, and the rest stops and the miles, I felt better, fianally making it to Lake Tekapo, with no energy left. On the way I hit 10 bees and 4 magpies attacked me (just swoops, no contacts - they must play in the B-league). I was planning on sleeping at Pedallers Paradise in LAke Tekapo and meet the author of the guides I am using. On my way there, I meet two lady riders - Fannie from Switzerland and Sakia from Canada. We chat a bit but they dont camp in campsites so I go to Pedallers PAradise, but he moved to I dont know where! Now where did those two lady riders go? I catch-up with them and we seek an off-the-road place to camp - right next to the lake. This is good. As dinner is cooking with the setting sun, rings appear on the surface of the lake... Fish are feeding! Yes! Get the rod! Get the licence! Get out there! Get back with no fish! But it was worth the try. Sakia has a travel guitar with her so the evening is spent with music, good company and scenery. Stars were amazing. Kim Karnes(sp?) sings Bettie Davis Eyes. And todays song is Just Like Starting Over by John L.       "
24,"I was headed for Lake Pukaki and followed the very flat, linear, canal road for some 40 Km with a head-on breeze and Mount Cook to my right. Elsewhere scenery is desert-like with bare, brown, hills. Blame it on the Foehn. A chap fished a 17.5 Kg rainbow from this canal on the week-end. At Lake Pukaki, I must make-up my mind... Shall I go to Mount Cook or Twizel? The Nor-Werter seems to have kicked-in plus I wil se Mount Cook from up close with my cousin (clouds allowing) in two weeks. Twizel it is. The weather is hot and dry. Drink lots, good riding, but the nice scenery is at my back and before me are the bare brown hills. Hmmmm... After a snack inTwizel, it is 3:45 pm. Still good riding tme ahead to make it to Omarama, 30 Km away. What a boring linear road with bare brown hills. And the wind shifted (again!) - a head-on headwind. I hate headwind! And its blowing stronger and stronger. I am not a happy camper. Well there is nothing like a magpie attack for entertainment. By the time I make it to Omarama, the winds are ferocious and I'm tired and very hungry. While cooking dinner at the campground, an american fellow starts talking to me - (he is mid-50's maybe) - about cycling and fly fishing! He travels here every year to fish. When I ask him for pointers, he also gives me a few flies. Nice. I will stay in Omaama tomorrow to fish and relax. Cheers, Rene           "
25,    
