,blog
10,"at the top i encountered David, a gringo who had been in mexico for several months, living on a small ranch on top of the mountain. he was standing on the side of the road trying to bum a cigarette. we talked about bikes for a few minutes. he offered me lunch if i ever passed through again. he told me it was all downhill to san vicente, which was mostly true.  i reached the bottom of the big downhill, at the turnout for coyote cal's, a hostel on the beach. if i had more cash on me, i would have considered heading the 12 miles out to the beach to stay the night there. instead though, it was a march up a mile or two long hill to the top of the other downhill to san vicente. i didn't notice till i got to the top how bad my bb had gotten. it was now making this wretched metal on metal screeching noise with every hard pedal stroke and moving about a half an inch with each revolution. i coasted down the hills and walked up them. even on the flats it was bad. san vicente had no bike shop, and no bank. i asked at a gas station to find that the nearest town with a bank was colonia vicente guerrero, 80 k south. luckily, it was a fairly flat 80 k. i came down through colonet, down into san telmo where i stopped at the pemex station to ask where the campground on the signs was.  ""en le parque national. es 90 kilometers en las cerras."" damn. i wasn't about to ride 90k just to camp, so i sat in a market, eating a bolillo(doughnut) the size of my face. i decided to ride up the park road to the start of the mountains, about 1-2 miles away and try to find a free camp spot, which i did.     "
11,          
12,"other than that, mexico has been wonderful. i will put a bunch more info up here later today or tomorrow... gotta run right now. adios- sean"
13,"after couple of hours down there, i walked back into town to check on my bike. it had looked last night like i was going to need a new frame shipped down from the US. everything was set in place, and all i needed to do was say the word and it would be on its way. when i got to the shop, the old man had started to chisel my bb out with a hammer and screw driver. ""mexicangineering"", but it looked like he might be able to do it. so now i only needed a new bb. i went back to the hotel for a siesta. woke up around 3, went and checked on my bike again. all was looking well, and it might be out by monday. i went to the internet cafe to update everyone, then out to dinner(a reasonable dinner). everyone seems to be really impressed with my spanish down here. i think it has more to do with my accent. i'm pretty good at taking them on, so when i do talk in spanish, i sound like a mexican. it's the only possible explanation, because i feel like i know so little spanish, even though i do seem to be able to communicate really well. after dinner, i headed over to the shop. i needed to borrow my bike for sunday(tomorrow), since they weren't going to be working and i had no other way to get my bags over to the campground. i walked around the corner, down the dirt road, and spotted Ramon, the nephew of the owner, out front with my bike. ""is fixed!"" he exclaims. i am a little confused, until i realize that my bike is sitting there with a new(basic) bottom bracket all ready to go. turns out that in the hour and a half i was in the cafe and the restaurant, he had chiseled out the old one, re-cut the threads, and found a useable new one. i was ecstatic, needless to say. when i asked how much, ""$150 pesos"". that's less than $15. i gave him $200 pesos and refused the change when he offered it to me. went back to the hotel and enjoyed a bunch of great movies on ""golden 3"" the only station the hotel gets.         "
14,"when i got back to the campground, a caravan of rv'rs had pulled in and were set up for the night. i went to bed early.           "
15,"on the advice of the rv tour leader, who has extensive bike touring experience, i should avoid route 1 through the desierto central if i can. so south of Playa el Soccoro, i will try to take the dirt roads and go along the beach. this will save me some serious danger of getting run off the road by a senile rv'er, and save me some serious hills in the process. i will have to take extra food and water though. not a problem. i have a ten liter dromedary bag, a 2.5 liter 'camelback', and a water bottle. that should be enough to get me from rancho to rancho. --------* well, i left CVG around 12-1, and arrived in el socorro around 3:30. there was a heavy mist sitting on the beach, coming in off the ocean. i rode into a place that was right on the beach, and had a sign saying ""rv's welcome"". they let me camp for free, but i was told there are very few if any whales there, and i will most likely see only their spray, if anything at all. i set up camp and walked the rocky beach for a while. at around 5-5:30, as the sun was setting, a couple from colorado rolled in in their rv. dutch had worked for coors,among other jobs, and loved travelling. his wife, didn't like travelling too much. i hung out with them for a few hours swapping stories, and had to borrow a flashlight to find my tent, for the the full moon was completely obscured by a heavy mist at that point. once the mist cleared, i had nearly enough light to read in my tent.         "
16,"10:45 am- to hell with it, i came here to ride. i'm off to the market to resupply, then up into the desert. if you don't hear from me for a while, it's because a gringo in an rv ran me into a ditch and i'm either dead on the side of the road or limping to the nearest town. adios. back in contact and updating now in guerrero negro(which means black warrior. something to do with pirates i think.)  i left el rosario and headed up, up, and up. it was hilly, but nothing like the appalachians. there was no shoulder, but there was also very, very little traffic. most people passed me in the other lane. when there were two cars coming from both directions, i just got off to the side of the road. the scenery up there is gorgeous. lush and green, not your typical desert. Dr. Suess must have visited baja before he began his writing carreer, because a type of tree/cactus they have here looks like it came straight out of one of his books.  as per murphy's law, halfway up one of the hills the hose on my water bladder(hydration backpack) disconnected itself and spilled half my days water down my back, my left leg and eventually to the ground before i could reconnect it and zip tie it. i should have zip tied it a long time ago. it has done this before and i had zip ties that i found on the side of the road in the states. anyway, i was already tired and feeling the effects of the strong sun. i was told about the random restaurants all throughout the desert, i just didn't know how far the first one was. i asked a road crew worker and he told me seis kilometers. i was thrilled because by that point i had taken the last sip of water in my pack and was halfway through my water bottle. seis passed, the 7,8,9,10,11,12 before i saw one of those wonderful little blue signs with a knife and fork on them, letting travellers know of a restaurant nearby. i pulled in and immediately recognized it as the restaurant where Louie(Touring Louie) and a few others had stayed by the hammock outside. i'd had enough, so i asked if i could camp there for the night. for dinner, i had instant soup(it's not much of a dinner place apparently) and four sodas, because they had no water. i watched some mexican tv in the living room they have set up inside. i slept in the hammock under a canopy of palm. i was careful to put my sneakers on something that kept them out of reach of the dogs who stole Louie's sandals.                   "
17,"after leaving my new amigo with his ártwork', i passed through one of the most beautiful places i have ever seen. the next 20k were on par with zion national park. it was a smooth, winding road through a boulder field with bright green cactus and dr suess trees 20 ft tall and countless other desert foliage.      at catavina i pulled into the rv park, where one of the people who lived there told me 39pesos, but with no water, electric or bano(bathroom). when she went to get change for my 40 pesos, and a man came back telling me 50 pesos. i figured what the hell, im already here, and i don't want my right leg to get any more sunburnt. i picked a spot and recognized one of the views from photos taken by the guy at the campground in colonia vicente guerrero. i saw a stray sitting in the shade of an rv and it became giddy when it saw me. as it weakly approached, i became horrified at the malnourishment. i could see all its ribs, probably fit my hands around its midsection(it was a big dog), and her teets were sagging and full of milk, which obviously means she is or was feeding. i try not to give food to strays, they need to learn how to fend for themselves, but i couldn't resist giving it a few fig newtons. it really broke my heart to see it like that.  since they are overcharging for the facilities, and they have no bathroom, which i really need to use, i'm gonna take a dump in a plastic bag and leave it in their garbage can. that'll show em. bastards.                             "
18,"the only other visitor to the campground that night was another bc canuck with an rv. at about 6pm last night, he started up his rv and moved it about 50 meters, the stopped. it all seemed very random. now, this morning, he is walking towards me with the emaciated bitch following happily. ""i thought i was the only one here."", he said, and that started our friendly, but rather insignifigant conversation. we never exchanged names. it was the ""where ya from?"", ""how long ya been on the road?"" and ""which direction ya headed?"" type of small talk so typical of the conversations i have with most rvers. they are almost always cheery and friendly, but rather generic for the most part. i wonder if thats how i'll be in my rv years, if they ever come. riding through the boulders and cactus in such a heavy fog was even more beautiful than in the hot sun of the day before. eventually, it seemed more as if i rode out of the fog than it dissipated. it would be 32 miles of basically nothing till i reached chapalla, which is a dry lakebed at 2,100 feet. the road from el pedrogroso turns for the worse, very rough and in parts gravelly. but as soon as you hit the laguna chapalla flats(you will see the big white lakebed in the distance), it improves drastically and is like that most of the rest of the way. i stopped in chapalla for some beans and tortillas, and some soda since they have no purified water or juice. there are a bunch of army officers outside giving each other haircuts. one is inside watching mexican cartoon network via sattelite and a huge truck battery. it's a mexican cartoon about mexican wrestlers(with the masks) and a little boy. very entertaining and i understood most of it.  the rest of the days miles where on a mostly flat, smooth road through a cactus forest. as the forest thinned out a little in one spot, i found found myself in the precarious position of riding through a swarm of bees. thousands of them, hitting me and my bike from the right side. i didn't get stung, but was paranoid that they were killer bees and a few were clinging to my bags stunned, and would sting me once i stopped. the forest picks back up again and continues for the rest of the day.  i rode about 7 of the 8 or 9 miles to punta prieta from the bajia de los angeles junction, along which there is the most perfect desert free camping i have ever seen.i set up my tent with enough time to take a short hike and catch up on my journal. i got another tire liner flat today. i think my freewheel might be going too... a big rabbit with huge ears glowing pink in the falling sun approached my tent as i sat there writing. as i reached for my camera though, it spotted me and casually went in the other direction.                               "
19,"from there it was consistant rolling hills through the misty, overcast morning. i thought i had rolled right past the santa rosalillita turn off. i figured i would just keep riding to guerrero negro. i noticed my rear tire was soft, so i go to pull over. it was there that i noticed the small wooden sign for santa rosalillita. i fixed my tire(a patch needed to be reglued, not the one from yesterday), and turned down the road. it was paved for the first mile or three. then it turns into a maintained gravel road. it was heavily washboarded and potholed, and where it wasn't, the gravel was deep enough to make it tough going. i looked down into the raving the road followed, and it looked much more manageable on a bike,  so i dropped down and followed the jeep roads through there. i eventually came upon a series of abandoned shanties on the right, and when i looked to the left i was greeted by a beautiful sandy beach with crystal clear water and dolphins jumping out of the water about 30 meters out. rolled around into sr, where i met a father and son who were camped on out on the point, basically 3/4 of the way down the jeep road i planned on taking anyway. i got some supplies at the grocery store and headed out. i stopped a lot on that trail, to check out the beach, or some caves along the rocky shore. the road followed the shoreline all the way out. gorgeous beaches and nice waves where my view till i reached the point and found the 'L'shaped rock piles, bunkers against the wind, set up to pitch your tent in. no charge, no baños. a surf spot. a couple pulled in with boards and a kayak on top of thier truck from the oppositte direction as i was pushing my bike through a 100 ft stretch of deep sand. Joaquin and Marshell(sp?) are surfers from the tahoe area of cali. i pick a bunker, set up, and watch some of the surfers out on the waves. i want to do that... went for a walk around the point before sunset. met up with Joaquin and Marshell on the way back. had a few beers and chatted as the sun went down. we were going to pool resources for dinner, but they said i needed my food more than they did and treated me to a delicious meal. Joaquin offered to let me try one of his boards tomorrow.               "
20,"i hung around camp some more and cleaned up the rope i made from agave fibers this morning on my hike. its about three feet  or more long and strong as hell.chatted with Joaquin and Marshell again. it was a bit to cold for me to surf today without a wetsuit. the offer still stands for tomorrow morning. finally made my way over to the dinner, which was great. they were really fun people and i had a good time and ate some good food. i hadn't even considered it, but there are mice/rats living in the rockpiles. they aren't filthy like the city rodents i'm used to, and they aren't at all bashful, coming right up to your feet.         "
21,"i finally noticed some movement in J&M's camp, Marshell was back from her walk. i ambled on over and she told me there was a seal playing around in the nice, swimable tidal pool next to where tim was surfing. i ran and got my camera, told Sebastian about it and headed over. sure enough, there was a 5ish foot long seal swimming around. i walked around the rocks, and got a few shots of him. also photographed some coral and a really brightly(almost florescent) colored snail. Sebastian made it around and offered to take my picture with the seal, so i gave him my camera and started swimming in. the seal was much more bashful now, and the only shot we got turned out blurry. Tim was in the pool now too, which made the seal even more shy. he would stay under for long periods of time. Tim and Sebastian left, and i walked around with my camera in the sometimes chest deep water. got a few good shots of the guy, but that is not the point. i was swimming in a clear tidal pool in mexico, alone with a seal, for about 15 minutes. amazing!!! while walking back to camp, i stopped at J&M's to show them my pics. they were eating lunch and insisted i have a plate. it was really good. while heading back to my camp, Tim and Sebastian asked my about the road heading into santa rosalillita. they told me we(the three of us) would cook up whatever fish they get for dinner tonight. they refused some pesos when i offered. then, from about noon to about three, Joaquin, Marshell and i WENT SURFING!!. it's difficult, especially the paddling and getting through the waves that have just broken in front of you. i got hit square in the face with the board trying to get through one of em. i caught a few waves, bellyriding them into shore, and got to my feet in a crouched position(with my hands still on the sides of the board), for a few seconds on one of em. by that time i was getting a little cold and tired, so we called it a day. when we were driving back, time and Sebastian had already returned from the fish camp. i got dropped off at my campsite to dry my clothes out. went over to Tim and Sebastians, and we made 'zen rock piles till the sun turned red on the horizon. then we cooked up the halibit, beans, rice and tortillas. they again refuse payment for the fish. after dinner, we sat up, Tim playing guitar and Sebastian and i doing most of the ""conversationalizing"". we talked about my trip, animals, the stars, planets(you could see venus, jupiter and mars at night now), california and whatever else came up. i eventually went back to my tent and fell asleep peacefully. GREAT DAY!!!!!                   "
22,"about a mile or so down the jeep road out, i was passed by a couple of dirt bikers. they turned around and came back to talk to this loaded down bike tourist miles from any paved road. John and Jack are touring baja from san diego to cabo, almost completely offroad. that's pretty damned cool. we got pics of each other and kept going. the rest of the trail out was fun and not too rough, but i wouldn't recommend it on a road bike. the road was mildly hilly to villa jesus maria, where i stopped for breakfast. i was waved through another military checkpoint. good thing, because if they found the 100 kilos of cocaine i have in my bags i'd be screwed. the rest of the way to Guererro negro was fairly flat, sunny, but with a cool breeze blowing in off the ocean. finally had my tourist card checked at the state line, and now i am here, in Guererro negro. i've got a hotel for the night. i really needed a shower. it was going on 7 days. i'll check out the whales tomorrow in scammons lagoon, and then see how far south i can make it. next update will be in baja california sur.               "
23,"while sitting in the internet cafe typing what you just read, two girls pop in and ask the girl behind the counter where the bank is. i need to go there too. i don't think its far. she tells them 7 or 8 minutes further. i quickly finish up and take off on my bike about 5 minutes after them. they must have run, because the bank for some reason is on the other side of town. i got there, got my dinero for the whale tour and sprinted back, figuring i would see the girls on the way. they looked like tourists, and the only reason a tourist would be rushing to the bank just before 11 here is to catch the 11 am whale tour. i didn't see them. got to the laguna tours station, to find that they weren't going out because there wasn't enough people. they call malarimo tours and have them hold a spot for me, but i don't have time to drop off my key at my motel. i figured i would lose my deposit. i sprinted off to malarimo. got on the bus, and there are the two girls, sitting there, not out of breath at all. i later found out they ran to the bank and hitched a ride back. the bus ride out included a really nice, informative presentation of some incredible facts about the whales, all in english. we got to the dock and were separated into two groups, 9-10 to a boat. off we sped into the bay for our experience with the whales. in the distance we could see them jumping, almost their entire bodies out of the water. impressive considering they weigh several tons and are up to 50 ft long. before long, we found a bunch of whales who would come right up to the boat, rub their backs on it, splash us with their tails, come up next to the boat to let us scratch thier backs. it was incredible. on the way back we stopped at a buoy with about a dozen seals lounging on top and swimming around. i was about three feet from them, barking at them and they barking back. the sand dunes surrounding the bay, a wildlife refuge, are huge and gorgeous.  when we got back, i was talking to the two girls, and found out that their boat didn't really get close to that many whales, and none of them got to touch any. the buoy their captain got them close to had only a few seals, and they only got to within maybe twenty feet of it. i attribute it all to our talented capitan juan. he did a great job.  when we all got back, i went to the hotel to turn in my key; and surprise, surprise; got my deposit back with a smile. i went to the laundromat. then decided, because of the hour, to stay at a different hotel, las ballenas, which is 19 a night.                 "
24,"every time i saw a stray roadkill, i thought how deserving it would be for the person who threw my little friend out the window to crash down an embankment, out of sight, be stuck in their car and die of dehydration/starvation. such is probably the fate of that little tiny, loveable puppy. i stopped in vizcaino to refill on water, and upon leaving the store, who do i see but antonio, the guy who had me paint ""dios es amor"" on the back of his portable empty house. he was visiting some friends before heading to cabo. he loved my photos of the whales. from there it was a scorching hot 45 miles to san ignacio. i stopped at one point, after nearly an hour in the saddle, and nearly collapsed when i put my feet down. i stood in the minimal shade of a road sign and ate a bag of grapes and some oranges. the cool water in my insulated bag had become hot. finally rolled through the military checkpoint, and down into what i thought was san ignacio, but was only the outskirts. rolled into the first rv park i saw. there was noone at the officina/cabana, so i rolled in and found a secluded spot. set up and went over to say hi and happy saint pattys day to my rving neighbors. Rich, Steve and Lee are down here on a vacation/fishing trip. Rich, as it turns out, is originally from sparta, the next town over from where i grew up. he's a cyclist too, but has been in maryland for some 15 years. they feed me beer and fish, and i split my papaya with them.               "
25,"rode up and out towards las tres virgenes volcanos. the three virgins, extinct, shoot straight up some 6,000 feet from the desert floor. there were two incredible downhills today, and plenty of long gradual uphills. had another patch failure before riding down the hill to the coast. when i hit the coast, all of a sudden, i fel a little more resistance, and my rear wheel was making more noise than usual.  all of a sudden, about 3 kilometers outside of santa rosalia, the wheel completely seized. i tried all i could to fix it, but alas, my bike is smarter than me, and has managed to find the two problems that i can't fix with the tools i have. and it found them in mexico, where bike shops are few and far between, and are generally working with worn out, understocked tools. i push/drag my behemoth to a fish taco stand and sit down to have some fresca's. i watch the mexican version of 'family feud' on the television with the proprietor. out of nowhere, he offers to drive me around town to try and find someone who can fix it. he closes up shop for siesta, i load my bike in the back of his vehicle, and we head out.  he probably drove me around for an hour before we found some guys willing to try to fix it. it looked like they had it. we had to rig up some tools, because they had no thin wrenches, which are necessary to tighten the nuts. when i asked how much, they said nothing. i gave them 20 pesos each. about two bucks each. then Enrique, from the taco stand, asks me ""donde?"" where?. i say a hotel. ""que hotel?"", barata. cheap. he takes me to one that is a mix between a hostel and a hotel. 14 a night. i discover that the wheel is not fixed. it wont work. i hang out with Norman, the other gringo there tonight, who has done a transcontinental ride back in 99, via his own route. he buys me a few beers. i go to bed around 9.               "
26,"i consider the possibility of buying a boat for cheap off of a fisherman, and rowing down the coast to lapaz or loretto, where there will surely be a shop. i stop into a little store and buy some sandals for 12 bucks. the owner tells me in english that there is a bike shop in mulege. i decide to take the bus there and back. its only $7 each way. so off i go with my wheel. i got here, found the bike shop, only to find out that the guy is on siesta till 5. it was 1 when i got here. so, im off to explore this beautiful little town some, hopefully the guy can fix it. if not, tomorrow i look for a boat. after the internet cafe, i headed for the local watering hole, el candil. in there i found dennis and bill, two expatriates who retired down here ten or more years ago. had a few negra modellos with them and chatted about the possibilities with my trip. a guy named don stopped walked by, saw me and my wheel and asked if everything was going to be alright. he was behind me on the bus. he left mt shasta california on the bus with no specific destination in mind, he's made it this far, and intends on continueing. 4:45 rolled around, and i paid my tab and headed for the bike shop, which, as it turns out, was still on siesta. so i walk back up into town to the only atm, which is actually just a credit card machine at a pawn shop run by another expatriate who married a mexican woman and has been down here for quite some time. he doesn't have any canoes or rwoboats at the current time. i run into joaquin and marshell, who are in town buying ice for thier campsite 15 miles south of town on the bahia de conception. i tell them about my puppy, and they promise to keep an eye out, but all three of us know the likelihood that the little guy is still alive, let alone hanging out where i left him. they are on thier way to el candil. i head over to the bike shop, and my my, it is open. mexican bike mechanics are the best. they can make anything work for almost nothing. it feels/sounds like my bearings are shot, but hopefully they are good enough to get me to la paz, where i should be able to find new ones. i stop by el candil just as joaquin and marshell are finishing thier dinner. they invite me to camp with them on playa escondido tomorrow.  walking to the bus station, i pass the swiss couple, and chat for a while. incredible sunset while waiting for the bus.             "
27,"it's a quick ride, with few hills, most concentrated near the two big towns. i roll along to snap-crackle-pop of the drive side bearings in my rear wheel turning into pebbles. i begin to realize that there is no way i will make it to la paz on my current set. eventually, i get a grinding metal sound, and know that its time to walk... it's about 12-14 miles to mulege. i've walked much further before. i ignore the desire to hitch a ride for quite some time. finally, i look back and see a decent sized pick up rolling down the highway. i stick out my thumb, and they stop right away. the driver, Adolfo, helps me get my 50 kilo bike up into the back. the cute chica in the back seat opens the door and makes room for me. Adolfo's girlfriend in the front seat hands me a bud light. we try our best to communicate a conversation during the 7-8 minute trip. they are from a port town in sonora state. they drove there via mexicali. the back of the truck is filled with engine parts, which they are deliveringto ciudad constitution. i think Adolfo and his lady are staying there, while my companion in the back seat, who has never ridden a bike, is going to mazatlan. like everyone, they are amazed at my trip. Adolfo refuses some pesos when we get to mulege, and before they take off, his girlfriend hands me an ice cold gatorade. the people down here are awesome, truly. i walk to the bike shop, leave my bike there, behind the shop, while i make my way around town to try and locate the cheap camping till i decide what to do... i *NEED* new sealed bearings and at least one axle nut for a rear surly 'new hub'... in case anyone has any extra ones sitting around. at el candil, Dennis from yesterday fills me in on the free camping. i head out there, walking my bike. there are a bunch of places that charge for camping on the way out to the free camping. they all have ugly premises and a bunch of filthy dogs hanging around. a motorcycle tourist passes me with a wave. when i get to where the free camping is, i see him stopped talking to some locals. Steve is on a mostly offroad tour, with two other guys who he is ditching for the night for some peace and quiet. he is an unstoppable ball of energy, and you would never guess his age if you met him. he's had some amazing adventures. we chat for a while then i go set up my spot, a mere 10 ft from high tide. while sitting by my tent watching the sun go down, i spot a truck with kayaks and a bike that i recognized. he had passed me in the desert, with pumping fist cheering me on. it actually helped quite a bit, those little morale shots. i flag him down and chat. when he realizes who i am(remembers seeing me) he comes over to check out my setup, and we end up having dinner at el patrone, the restaurant on the beach. Josh is a cyclist/river rat from slaida colorado, so between cycling, and my interest(despite not owning one) in kayaking we had a ton to talk about. the music is a little loud during the night, but it's friday. the wind on the other hand, was something else. nearly blew my tent over.             "
28,"headed into town, but the internet cafe was closed. got some supplies from saul's tienda and headed back out to the beach. walked out around one of the points to spend some time checking out the gigantic aquarium they call the sea of cortez. all kinds of tropical fish, manta reys, starfish, hermit crabs. there were these pitch black crabs with bright blue and orange underbellies crawling on the rocks. crystal clear water. made some more rock totems. went swimming. watched the sun go down from the light house.             "
29,"internet cafe doesn't open till ten, so i walk back out to the beach for some oj at the restaurant. miguel, the patron and solo mariachi at night, is my waiter. he is learning english and is about as good at it as i am at spanish. we're gonna help each other learn while i'm here. head back into town to the internet cafe. on the way, run into the group camped out on the other end of the beach, next to the lighthouse. Ferron, George and his son, Crystal, her boyfriend and her father. they give me a ride into town as they are off on a day trip. George tells me to stop by later today to go out paddling.  at the internet cafe, i am at my computer for about ten minutes when in walks Norman, from santa rosalia. he spent the last two days down on bajia conception, and is on his way back north now.  Chris and Fred from Route 15 bicycles in Lake Hopatcong, NJ, the shop i worked at for three years are going to ship my parts down here.  Big thanks guys."
30,                more to come.....               
31,"met a kayak builder. have been kayaking twice. went on a half mile snorkel with some spring breakers camped out near me. saw some amazing corral reefs, all kinds of fish and manta/sting reys. met a lady from new york today. hung out for a little while, helped her build a little palapa. have gone on a few hikes.  it gets hot here in the day. i could only imagine in the middle of summer. i'm very tan.  i've decided to go to la purisima instead of loretto south from here. that means i will be crossing the sierra de la gigantica about 50 miles/1 day sooner. less hills, more flats, more culture. la purisima is a self sustaining oasis, much like san ignacio and mulege, only it's more remote, in the middle of the desert. from there it will be about 200+ miles of hot flat desert till i turn out down dirt roads to the pacific, and down to todos santos, the cabos, and more dirt roads to lapaz. i need to keep checking in at hotel cassitas on my package from the states. i have no idea when it will arrive. i've heard anything from three days to eight. i really hope its not eight. as much as i like this place, sitting still is not fun."
