,blog
10,"   I had heard some bad stories about how the wind could abuse northbound riders along the coast as the prevailing wind is from the northwest. I got a fairly late start but the wind didn't seem to be nearly as bad as it had been coming across eastern Oregon. I saw about 15-20 southbound Oregon coast riders as I headed north. The Oregon coast is a very popular bicycle tour in July and August as the weather is usually very nice and the rain usually subsides for these two months. The scenery is also incredibly beautiful along the coast. This was a nice day's ride as much of the day I was not on the busy Highway 101 that runs along the coast in Oregon. Soon after leaving Lincoln City I crossed the 45th parallel for the third and last time as I rode on a ten mile section of 'Old Scenic Highway 101'. This part of the highway has been bypassed by a new section of Highway 101 and goes back up in the coastal hills with some great views of the coast and the coastal forests. I was on Highway 101 for a short 8 miles before turning off on the 'Three Capes Scenic Route'. This is a seventy-mile stretch of road, which hugs the coast as Highway 101 cuts across further inland. Another reason the Oregon coast is very popular for bicycle touring is that the Oregon State Parks along the coast have some very nice hiker/biker campsites.     I was the first cyclist to show up at the hiker/biker area at Cape Lookout State Park. There were probably about 12 sites in the hiker/biker area and being the first to show up I picked the site that was almost right on the beach. The beach at Cape Lookout is about 50 yards wide and 7 miles long. It is an incredible beach that never looks very crowded as it is so big. I lay down to take a nap in the sun after arriving; and when I woke up, there were about 10 other cyclists that had arrived all heading south along the Oregon coast. There were four groups of riders, all from the San Francisco Bay Area; most were riding from Portland to the California State line. After showering I made my dinner and ate down on the beach so I could watch the sunset.
"
11,"   My days heading north to Astoria along the coast were all pretty short compared to the mileage I had been doing inland. They were short and getting shorter so that I had plenty of time to enjoy the surf and relax. I finally left the campsite around 10am. I rode a mere 10 miles up the coast to Oceanside and had lunch with a nice view of the ocean. I then stopped for a tour of the Cape Meares Lighthouse followed by a stop in Tillamook for a tour of the Tillamook cheese factory.     At Bay City I took the Miami River Road which headed inland through the coastal hills and was another nice break off of Highway 101. This road also protected me somewhat from the northwestern wind that had picked up this afternoon.   Nahalen was only a couple of miles from the Nahalen Bay State Park so I decided to stop there for dinner. Had a great dinner with a bottle of wine and almost enjoyed my dinner too much as I still had about 5 miles to ride, and it was already getting dark as I left the restaurant! Made it to the Nahalem Bay State Park after a total of 50 miles of riding. Again there was a nice hiker/biker area and with my arrival it was pretty much full. There were a total of seven other cyclists at this site: a father/son pair from Germany, a couple from Germany, a father/daughter pair from Oregon and one Canadian. I made it to the campsite in time to put my tent up as the sun was setting.
"
12,"I left the campground at 11:00am and took the back roads from the campground back out to Highway 101. While on the back roads I stopped at Neahkahnie Beach. This was a really nice beach where I decided to get my 'front wheel in the Pacific' picture indicating the end of my trip. This picture would go along with the 'rear wheel in the Atlantic' picture indicating the beginning of my trip that I had taken in Provincetown at the end of Cape Cod in late April.     Upon leaving this beach there was quite a climb back up to Highway 101 and then additional climbing up a pretty steep hill that overlooked Neahkahnie Beach and the Pacific Ocean. I stopped here for some time and enjoyed the view as well as the cool breeze after the long climb up the hill.     Just down the road at another pull off I met another cross-country cyclist, Gladys Sims, who had started in New York City on 5/10. Our trails had crossed several times across the country and now we finally met. She was continuing her ride down the Oregon coast and finishing in San Francisco. I thought of continuing my ride on into California several times as I saw all of the southbound riders along the Oregon coast but in the end decided to leave the ride down the Pacific coast for another tour! Gladys is the person who told me about the www.crazyguyonabike.com web page where I could post my journal. She had been posting hers to this web page as she rode which was probably a better idea than the lengthy emails that I have been sending out! I stopped in Cannon Beach and took a nap on the beach in the sun around noon. This was another great beach, and it was a cool day with a hot sun so it was perfect for a little snooze. Then I headed on into Seaside. Seaside has a promenade, which is a two-mile bike/walking path that is between the town and the beach. The beach is pretty amazing. At low tide it is probably over 100 yards wide and over four miles long. I was riding down the promenade when I found out Seaside was sponsoring the world's largest sand volleyball tournament this weekend and the practice rounds started this afternoon. I hung around the beach and watched some volleyball before heading to the hostel. After cleaning up at the hostel I headed into the back yard of the hostel which looked out onto the Necanicum River. I updated my log and diary as I finished the bottle of wine I had bought at dinner the night before and had been carrying in my Camelback all day. After updating my diary, I headed back out to the beach for dinner, more volleyball, and a beautiful sunset!   "
13,"   I stopped at the Fort Clatsop National Memorial where Lewis and Clark spent the winter in 1805/1806. After a couple of hours touring Fort Clatsop I headed on to Astoria.         Astoria sits out on a small peninsula of land that juts out into the mouth of the Columbia River. It was a sunny day but very windy as it often is in the Columbia River Gorge. The route of the ride took me up and over the hill that Astoria sits on with really nice views of the Columbia River.     My ride came to an end at the Astoria Maritime Museum on the Columbia River in downtown Astoria. I sat on the dock for a while watching the river head out into the ocean wondering what I should do next .is it back to reality to look for a job or should I start planning my next bicycle tour maybe I will head down to New Zealand and visit the KIWIs for the winter. After all, it is summer down there all winter!   "
14,"We managed to arrive in one piece during the evening at Bennett Springs State Park near Lebanon, Missouri. Many people were fishing in the river, perhaps for some kind of a tournament. The park was crowded and noisy so I slept poorly. Cricket did not seem to mind and passed a rather uneventful 1st night in a tent.   "
15,"We arrived at the western trail-head town of Clinton, Missouri and were on the bikes by 9:30 in the morning. This section of the trail was very hot and humid with little, if any, shade. We saw a few other cyclists as we rode through cattle-country and farmland. Eli was intent on challenging us to race every few minutes or so, but we managed to decline the repeated offers.    We pulled into Sedalia at 3:00 and met Trout Momma and Cricket at the State Fairground where they were busy snoozing in the shade of a great tree. We quickly found a quiet tent site, set up camp, and found the fantastic showers.What a great service to provide camping at the fairgrounds, thanks Missouri. Later that evening we visited my sister, Mary and her kids at Warrensburg. We had a nice visit and ate a good Cajun dinner at LaMaire's Restaurant.   "
16,"   As we glided through Missouri, we practiced drafting off each other like Lance and the French boys do. It really does work! Trout Momma and Cricket met us at various trailheads throughout the AM and we consumed mass quantities of snacks, gatorade, and H2O. The trail was much shadier today, and we saw lots of wildlife, including deer and rabbits.    Our first glimpse of the great and wild Missouri river came at Boonville, and we were humbled by her awesomeness as we crossed the new river bridge. We arrived at the almost abandoned Katy Roundhouse at 12:15. We had made great time. After picking a shady site to set up camp, we snoozed. I fell asleep in a chair and either skeeters or chiggers attacked my bare legs and had a regular feed fest. In the evening we went into Boonville and ate chicken fried steak, YUM.   "
17,"   This section of the trail runs through the pretty bluff area of the Missouri River. We could easily imagine the Lewis and Clark expedition exploring this country two hundred years earlier. We rode through the 1893 MK&T train tunnel in the fog and enjoyed seeing the picturesque town of Rocheport. We stopped and explored several caves and saw lots of wildlife. Supposedly, Indian petroglyphs can still be seen on the bluffs, although we were unable to spot them.    Near Jefferson City we were treated to scorching summer heat and a nice view of the Capitol dome. At last, we rode into the farm town of Tebbets and found our SAG team waiting for us near the grain elevator.    We then drove all over Missouri to find a place to camp. We ended up at Crooked Creek Campground at Kingdom City. What a dump! The ground for the tent sites were littered with broken glass and was hard as concrete. We did get to cool off in the swimming pool, and I drowned Eli several times. We ate at Taco Smell."
18,"   We finally stopped in Marthasville and went to Scenic Cycles where Matt worked on Eli's seatpost, and I bought a Katy Trail T shirt. We camped at the local ball park for 10 bucks, showers included. We were treated to co-ed softball late into the night and welcomed the free entertainment. Cricket found lots of kids to play with and was in puppy-heaven. Ate KFC.   "
19,"   We walked around St Charles in the afternoon and ate a good lunch. I was determined to visit the Lewis and Clark museum and then was disappointed when I found it. We headed home towards North Carolina and stayed in a motel in Okawville, Illinois. Had a good meal in a tavern in town.   "
20,
21,
22,"Just an observation: Little Green People.   In Paris the street cleaning crews' uniform is neon green. They even carry brooms with neon green brushes. The best part is the brushes are plastic shaped to look like straw. As if to look like an old peasant broom from the 1600's. Leave it to the French to provide their workers with less efficient brooms in the name of fashion. Train from Paris to Roen cost E 12.70. We got a discount for being under 26 with student id's. Roen was a neat city. We walked downtown and had a cafe for E1.5 (too expensive). We then headed out. Once we got out of the industrial suburbs it turned pretty, old homes with lots of character with pastures and sheep. It was getting close to dark with no official campsites nearby. We planned to just sleep behind some trees. Justin asked some ladies in a village if they knew of a place we could camp. One lady offered her yard. I thought that to be overly nice. So we biked to her house. Her husband put us up in an addition he was building onto the house. We got to sleep in an uncompleted room of a house, that was great! Then he brought some homemade cidre. These people are just too good to us. I think we are in St. Pierre de Manneville.         "
23,    
24,    
25,      
26,      
27,          
28,        
29,              
30,            
31,            
32,                  
33,        
34,  
35,
36,            
37,      
38,(following not for fant of heart) I usually try and hold it as long as humanly possible. That is until I find a normal toilet. This morning I had to go. So go I went. In the rain. With a wad of TP. If anyone watched me go to and fro they may have noticed my trip involved a long sleeve grey t-shirt. On the return a 1/2 and a 3/4 sleeve grey shirt. Lesson learned always bring as much TP as you can carry! Especially when there is goat cheese around. FYI I HATE these roman toilet. Should outlawed! I loved this t-shirt. Now I'll be cold tonight. Oh well.  The sorority named on my shirt was specificly left out to protect the innocent.  FYI If anyone knows where I can get a grey long sleeve Tridelt-Theta Casino Duo 2000 t-shirt from Texas A&M University fill me in.   
39,
40,"Got up and rode to Blois. It was slightly hilly but very windy. I believe I can come to expect wind in this area. All nearby camps are closed. The cheapest hotel is full. Went ahead and splurged on a hotel IBIS, 57 euros. Not a bad price for such a prime location. If anyone ever learns anything of value from me it won't be gas chomotography but rather that Hotel Ibis is the best deal for a hotel in France, period. Every IBIS I've stayed in has had exceptional service and clean rooms at attractive prices. I've stayed in some very scary places. And I've stayed in very nice places. IBIS is the best for the price in europe. Actually if you're interested in learning gas chomotography shoot me an email. I have a list of things I've learned not to do with those expensive machine no matter how fun it sounds.    I have to stay in town so I can go to a bank where english is spoken and this is a popular tourist town.   Blois has a great staff at there visitor information center. They were nice to me even though I look/smell more like Grizzly Adams. A pretty blonde Canadian girl doing an internship gave me directions to a bookshop with english titles.     "
41,    
42,        
43,  
44,        
45,      
46,"* Things France could do without. At risk of loosing some of its culture.   1)Dog crap everywhere   2)Smoking like maniacs   3)Urine smell everywhere. Not entirely due to dogs. Although I have a list of do withouts for France I could easily make one for the states also.  On more than one occassion someone has approached me speaking in french. I reply that I don't speak french. Their reply is to repeat the same thing over and over only louder and much FASTER! Do they expect me to automaticly learn french as a result?     Our train got into Limoges late. The conductor was yelling at me to hurry up and where to go. Of course having bags, tent, sleeping pad, locked bike didn't help any. He was not in the least bit helpful. He could have helped with bags. I heard him say something about English to some other man. Maybe I should learn french for no other reason than to find out if I'm being insulted or just spoken about. One station worker escorted me to the correct voie (track) but didn't help with bags, bike, anything! Why would someone go to the effort to watch me struggle with all my gear and keep telling me to hurry along, if they aren't going to at least carry one of my items? I got there stairs and all in plenty of time. No hold up due to me."
47,"Don't ask to read the intro to my 'Tom Jones' book. This cafe, which is a very nice one, doesn't have t.p. or soap in the WC. I am beginning to think french don't believe in hygiene. Think twice before shaking hands with a frenchman.   For 23E that tour was great. We went to 2 chateauxs. 1st was in bouih 2nd was in Blaye. Both were good. But I felt the 2nd had a better quality. Not that I would know. I bought one bottle of 1999 Grand Reserve from the second. That vinyard also had a wine that was not Red and not Rose but in between. Good stuff. The USA needs to start buying Rose wines. It's perfect summer wine.   The lady working there asked where I was from. I told her, ""from Texas."" She had an amused look on her face and asked if I have had any problems due to the recent actions of the U.S. I think france has really seen a decline in the number of American tourist. And that is what I've gathered from her also. Later on when I got back to my room, the French guys asked me if I was Australian or American. One guy that spoke english said, ""America..no good."" He was joking with a smile and shook my hand. A 3rd guy came in later and asked me the same thing. He asked if I liked France. I told him very much. That was all he could say in english. The other 2 really wanted to talk after learning that I cycled as much as I have.    I went to do laundry! 3.5 euros wash no dry a small load! No wonder people think french smell. They can't afford to do laundry. 1st you have to ring yourself in by pushing a button? Maybe it's on a timer to not open after a certain time? .5E for soap. One thing that is far supior to our system is they have a central money deposit machine. You put money in and press which machine you want to start. Very cool. They also have a great video rental system. A single machine will dispense your choice of movie like a coke machine.  When I got back all 3 guys were there. Very nice guys. So now I am ""Mr. Bush."" I take that as a compliment. One asked me if I've been to Spain. I told him Barcelona twice and Pamplona for the San Fermin festival. The running of the bulls festival. He was amused with the bulls. If only he knew I thought it boring compared to actually riding a bull. On or before I was ""Mr. Bush,"" he asked if I was a cowboy. I told him ""no cows."" Now I wish I did have cows. I coulda lied, I guess.  So they left. I decided to go down to the common area. 3 men are working on their 4th bottle with their meal. A school group also arrived. My floor is mixed gender. I thought that it might be so when I took my shower yesterday. Slightly opaque glass is all that stands between my manhood and the restroom sink area.   I wish I knew tomorrow's weather. The decision on what to do next is still in the air. Bike around, tour town more, rent car, train elsewhere?  Called home and left a message to left dad know where I am. Mom and grandma went to Houston for Aunt Marggie's birthday.             "
48,    
49,"Two years later, we've decided to wrap up our job in Scotland and go on home to the US.  As a farewell gesture, we thought we'd ride across Scotland.  From the Firth of Clyde to the Firth of Forth is really only a day's trip even for us, so we think we can actually make this one. Our journey will take us from our home in Glasgow along the Forth & Clyde Canal and the Union Canal.  We'll leave the Union Canal before Edinburgh to cross the Forth and ride along the south coast of the Kingdom of Fife to Crail (where they sell fresh-cooked lobster right on the harbour).  Finally, we'll ride from Crail up to Leuchars to catch a train home.
"
50,         
