,blog
29,"There was no waiting at the accident and emergency department; in fact they were so quiet that Jo had 6 medical staff fussing over her at one time whilst I sat in the waiting room well away from the all that gory stuff. The nurse said that a lot of the patients they get are workers from the building site next door where they are building a new hospital. So, an hour later, Jo reappeared all stitched up with a big bandage around her leg and a big limp to go with it and there was nothing to pay - that perked the Finance Director up. Another taxi took us back to the Information Centre where over a coffee and muffin we considered what our options were. The limitations being that Jo can not cycle for at least 10 days until she has had the stitches out and even then we will just have to see. The outcome of the committee meeting was:- We hire a car for 24hrs to get us back to Slope Point, stay the night there then bring our gear and bikes back to Invercargill tomorrow. Hiring a car wasn't easy, the Information lady had to try a few places and we finished up having to pay top whack, so hiring for any longer period of time for the moment was not on. We booked ourselves 2 nights at the Invercargill YHA (handily placed in he centre of town) to give us more time to get ourselves organised for the next 10 days or so.     So, looking all upmarket in our silver automatic Mitsubishi Lancer we went to the supermaket and stocked up and then went back to Slope Point and drove the final 5kms down to Slope Point headland itself; well we had to didn't we.Jo hobbled gamely down to the marker post which told us that this was the southernmost tip of the NZ's South Island. What rubbed salt slightly in the wound was that there were 2 cyclists just starting back after wheeling their bikes down to the sign but after chatting to them we weren't too dissappointed as they hadn't been to Cape Reinga. Today was friday the 13th but our bad luck started yesterday, at least today we have got some things sorted out and we know where we stand now or in one person's case, half stand.  In the evening we chatted to David & Hiedi from New Mexico who were on a lengthy trip including Europe, South Africa, Tasmania before coming here. They were riding a superb mountain/expeditiion type tandem built like a tank. Two British lads also here tonight who went to Tokanui in the evening to watch the annual speed sheep shearing competition; one of them took part. Teams of 3 with 1 winding a handle to generate power for hand held shears which another sheared the sheep with: the 3rd member had to eat a can of beans at the same time. They all then had to down a pint of beer - the fastest team wins. Pity the poor sheep though as most of the blokes weren't sheep shearers and they had had a bit to drink as well. In terms of diary entries for the next 10 days or so we will probably group some together until we start (which hopefully we will) cycling again. Watch this space..........   "
30,"A day of dismal weather, cool south westerly's, on and  off rain after a brightish start and not an ideal day to be out on our bikes but that didn't make us feel any happier particularly as we passed more cycle tourists on our way to Invercargill. We would much rarther be out on the bikes, even this sort of weather, than sat doing nothing behind the wheel of a car. Our present mood is reflected in the weather as the forecast for the next few days is not so good - where has the summer gone? Rarther than drive straight to Invercargill we first of all went down to Cape Bluff as we always intended going there on the bikes even after going to Slope Point. We didn't really have much enthusiasm though for taking pictures of ourselves by the sign showing distances to various places in the world - we left that to the 'tourists' and had a coffee instead and that wasn't very good either. Once in Invercargill we went back to the Information Centre (we are becoming regular visitors here) and organised transport for Monday to get us from here to Te Anau in Fiordland, about 170kms away and on our intended cycling route. We would get bored spending more than a couple of days in Invercargill and we do like Te Anau and its surroundings. We can't sleep in the tent as Jo would find that a problem so we tried to book other accommodation but with limited success; the Youth Hostel and also Cabins on a campsite we tried were full. We managed to get a double room in a backpackers for 2 nights only so we will have to organise something more when we get there if we want to stay longer, which we may well do. We prefer to be in nice scenic surroundings doing next to nothing than in a large town. We saw David & Heidi again briefly as they called in to the backpackers looking for accommodation - without success. We may well see them again however in the coming week as they are headed in our direction and we will probably leap frog them on the bus tomorrow. When we were re-reading this entry later on we realised that it sounds very depressing and probably a bit more depressing than we actually feel now - now that we have come to terms with the situation. However we decided not to change anything as it reflected our mood at the time. Sunday 15th Feb - it's my birthday  To be honest I am not that bothered about celebrating birthdays (mine anyway) unless they are those important ones with a zero on the end and I have got another 3 years now before one of those crops up.The weather was somewhat better today, siightly warmer and brighter with no rain but no sun until late afternoon which reflected our slightly improved outlook on life. Jo couldn't really walk far and then only slowly so we only walked across the road to the internet cafe to upload some more pics and check e:mails etc and then down the street to have a coffee. The rest of the day we spent reading and relaxing back at the backpackers place which had very good facilities for doing that sort of thing. In the evening we went out to 'celebrate' my birthday at Waxy O'Sheas the Irish theme pub down the street which was in fact nothing like an actual Irish pub. They had Irish music over the sound system which consisted of the same 3 songs played over and over again. so after an hour your feet stopped tapping to the music because you had got bored with it. The plus, though, was that they had Guinness, Murphy's and Kilkenny beer on tap so we had a jar or three and a very enjoyable time. We feel a lot happier now - but then that is probably alcohol induced and may only be temporary. We shall have to see what tomorrow  brings to confirm, or otherwise, our outlook on life.
"
31,
32,"Weatherwise it was dry, cloudy and cool in the morning but by the time we had left Invercargill behind on the bus it went downhill and got wetter and wetter. Everybody, including the locals are now complaining about this weather but at least we are not getting it as bad as they are on the lower North Island (at least not yet anyway). They had a major storm today with extensive flooding, trees and power lines down, even houses, roads and bridges swept away  - It was the major item on the evening news being the worst storm for decades. We got nothing like that down here but this weather has now got 5-7 days to behave itself now before we really start complaining as Jo's knee should be better by then and we want some warm, dry, sunny weather to cycle in and get this suntan going again; we are starting to lose it! The mini-bus was practically full with 10 of us; 2 young german cyclists as well - luggage and bikes go in a towed trailer.Then when we got to Riverton after 40kms the two American cycists we met at Slope Point were waiting to get on and we wondered how they would get their tandem on - no problem; it had couplings that allowed them to split it into two parts. They were busing it to Te Anau and then going kayaking on the fiords for a few days. When we dropped somebody off at Manapouri, 20kms before Te Anau, there were the two English cyclists we last saw at Oamaru; we managed a quick chat with them. There is an absolute load of cycle tourists about now; we saw another 9 on the road today as well. And we saw more later........and what's the betting that every single one of them is complaining about this weater now. For the moment though we are here at one of our favorite NZ places; a lovely location by the lake with the Fiordland Mountains of the Kepler and Murchison ranges as a back drop - just need some sunshine to show them off in all their glory.       "
33,"It is far easier being in a tent as all you have to do is roll up to a campsite (or pitch it just where ever you want out in the wilds) with no forward planning required at all. Yesterday Te Anau was chocablock with all accommodation types taken (apart from tents!) and it was a similar picture for the Queenstown area so we heard. When we called into the Information Centre in the morning to book our trip there were queues of people already trying to book accommodation for tonight and having a lot of trouble. Quite honestly that must be a real pain having to spend time doing that most days when you are on holiday - too much hassle and time wasted from our viewpoint. The campsite owner we spoke to said they had never experienced anything like this before - he blamed 'Lord of the Rings' for it all!  But he wasn't complaining about all of this extra business though. For the moment though this booking acommodation chore is something we have to do as well so we organised ourselves for 2 more days here and then at Queenstown, our next port of call. For a horrible moment today we thought Jo's recovery was in jeopardy because the wound wasn't looking too good so first we went to the pharmacy who sent us to the Medical Centre as they thought it might be iinfected. The doctor however just changed the dressing and said it was ok - and that will be 35 dollars please! Then Jo went to get her haircut (so she didn't look scuffier than me) So we had a bottle of wine to celebrate spending all this money. Wednesday 18th Feb - Milford Sound trip We caught a coach at 10:00hrs for our trip to and cruise on Milford Sound. It's 120kms just to get there but through some stupendous mountain and lake scenery; we had plenty of short viewing stops on the way including a BBQ lunch (in a light drizzle). Just 12 of us on the small coach; the rest had come down from Queenstown, which meant a 12hr+ day for them by the time they got back. We were hoping for some really wet weather at Milford Sound so we would get all the waterfalls streaming off the sheer cliffs; there are a couple of really good permanent waterfalls as well. We saw Milford Sound 5yrs ago in glorious sunshine so we really wanted the complete opposite today. We had some real good rain on the way there and were very hopeful but as soon as we got through Homer Tunnel and descended to the Sound it started to brighten up with hardly any rain - and this is about the wettest place in all of NZ; it gets 6 to 7 metres of rain a year. What's going on! - when we want sun we get rain and when we want rain we get sun!            It didn't really matter though; even on a second visit it still took our breath away - it's an awesome place with the sheer mountains rising a mlle and more from the water; Mitre Peak being the most shapely. We spent nearly 2hrs on the boat trip going right out to the end of the fiord and  back and then it was straight on the coach and back to Te Anau before 18:00hrs  -  just a great trip and well worth the money. You can't come to NZ and not see Milford Sound (and/or Doubtful Sound nearby) Todays useless bit of info: Milford Sound is actually a Fiord not a Sound. One is created by the space left by a retreating glacier which is then filled by the sea and the other is created by the sea filling a valley either by the valley floor falling or the sea rising - without any glacial activity. You can work out which is which yourself. Thurs 19th February - we're not going outside much in this weather! It's a good job Jo is incapacitated otherwise we would be getting really frustrated by this weather. Low, low cloud & low, low temperatures with strong winds, rain and thunder rolled in for good measure - that was today's theme. We had a heater in our cabin so that went on and before venturing outside we put all our warm clothes on and even then we only walked down the main street stopping off at an internet place, a cafe, the supermarket and the Tourist Office to book a bus to Queenstown for tomorrow. Before Jo's injury we both really wanted to cycle the gravel road through the mountains from Te Anau via Mavora Lakes and then catch the ferry across to Queenstown; total distance about 130kms (approx 100kms on gravel) - we would have taken 2 days over it camping at Mavora Lakes; the reverse of the route we did in 1999. I was planning to cycle this tomorrow (it would have to be done in one day) whilst Jo caught the bus via the main road but the forecast for tomorrow is for yet more xxxx weather with strong head winds as well,  making the route a bit impractical; there is also a river cossing involved and no shelter or facilities of any kind - it's a fine weather route really. The forecast for the weekend is pretty naff as well so we can't really sit it out here waiting for an improvement. To expend some energy in the evening we ate out at the local pizzeria with a window view of fresh snow on the mountains as the clouds cleared eventually and the rain finally stopped. "
34,"We were wondering a few days back as to whether we had moved into Autumn already, even though Autumn does not officially start until March 1st. We reached the conclusion today that we have bypassed Autumn altogether and moved straight into Winter! There are only one or two diehards wearing shorts at the moment; everybody else is wrapped up to the eyeballs. Do you know - our legs haven't seen the sun for about a week now. We had a 2hr+ coach ride to get to Queenstown by lunchtime with some very pleasant scenery on the way to keep us interested - snow on all the hill tops. We had a brief toilet stop at Garston (elevation 304metres, population 106) whose claim to fame is that it is 'NZ's most inland village' with a sign there giving the crow's distances to the 4 coasts N,S,E & W. The Cafe/Petrol place had perhaps the most unique offer available anywhere 'Free 10mins internet access with every fuel fill'     Jo went to the Medical Centre at Queenstown to see about getting her stitches out; no joy. They re-dressed it and said leave it until Monday; that will be $10 please - (cheaper because the nurse did it). We are booked into a backpackers, a 5min walk from the busy town centre. Queenstown being the 'tourist and adventure capital of the South island' is an extremely busy place (no vacancy signs up everywhere) and really not somewhere we want to stay until Monday as it is not our cup of tea - great location though by the lake. We have decided to stay tomorrow and sit out the bad weather which is forecast and then move onto quieter Wanaka; Jo is booked on a bus on Sunday to get there and I am definitely riding it otherwise I will go absolutly bananas; it's a very hilly ride so hope the weather is favourable. There are some flattish and quieter roads around Wanaka that Jo can test her knee out on Monday after the stitches are out. It will then be decision time as to what our next plans are. Weatherwise today: cold start, sunshine and cloud becoming slighty warmer but then the wind increasing through the day and by late afternoon total cloud cover and back to cold again....and those clouds look very grey indeed. Sat Feb 21st - a wet saturday in Queenstown Pouring down when we woke up, it eased off later so we went out, then we had a sunny interval (note the singular) and it got quite warm (looks promising), then it got windier, then it cooled down, then it rained again, then it eased off, then it rained again (not promising). One of those umbrella up, umbrella down, into cafe, out again, into shop(s), out again, walk by lake, seek shelter, walk again, back into shop, out again, days. Finally give up on it all and went back to accommodation for the rest of the day and read and relaxed watching the rain come down outside, then it eased off, then...........etc, etc.... If for the remainder of this trip any more Kiwi's say 'well we really needed this rain' again then they will get a smack in the mouth!
"
35,"It didn't start like that though; Jo was catching the bus at 10:30 and I left just after 09:00 with arm and leg warmers, jacket and even socks on as it was very cool. I was slightly embarrassed having to wear socks with sandals (it's surely one of the world's worst fashion statements) but no way was I exposing my toes to this chilly start. After 20kms I was at the start of the big climb of the day to get over the Crown Range, highest point 1076 metres so I stopped to have a bit to eat, a drink and removed my socks, legwarmers and jacket as this would be warm work even in these cool temperatures. It was also here that I had it confirmed to me why it is essential that I must bring Jo along with me on these tours (apart from organising clothes washing that is) I had put one of my drink bottles down and forgot to pick it back up again and didn't realise it until 2kms from the top - no way was I going back for it. If Jo had been there she would have looked after me making sure I didn't leave anything behind - including her!  So if anybody come across a red Tour de France 2000 Coca Cola bottle then ask the owner if they have been to Queenstown, NZ recently.     On the first few hairpins I spotted another cycle tourist  about 300 metres back, so, of course, this is where the male competitive spirit overules common sense. I was determined not to be overtaken, which in hindsight was a bit foolish seeing as I hadn't been on the bike for over a week and this was a tough climb with some steep sections. I was keeping the distance without over taxing myself (well, not too much) but on one of the steepish sections there was a good point to take a picture so I stopped (honestly, that's the main reason I stopped). It was a Japanese lad behind me and he stopped and we had a brief chat. I think he was welcome for a short rest as well as he may also have had that male competitive thing going, being determined to catch me; we met up again at the top. About 1km from the top there was a horn sounding behind me and a minibus went past with Jo waving from the back window. It's a good job that wasn't 10mins earlier; I would have been caught out resting (I mean taking a photograph).        In theory I should have been rewarded for all that effort with nearly 40kms of downhill and flattish riding to Wanaka but no.......I  had a headwind all of the way and had to pedal just about every last metre of it and also withstand the calm manner of half a dozen cyclists going the other way, uphill, in apparent ease couresty of the strong backwind they were getting.  I had a coffee stop at Cardrona, with it's famous old hotel, which was a stopping off point in the goldrush days as prospecters made their way via this route to the Queenstown goldfields. I was into Wanaka after13:00hrs where Jo was already established at the Mountainview Backpackers  - a recommended place. Wanaka (one of our favourite NZ places) is in a beautiful location by the lake with the snow capped mountains of the Mt Aspiring National park in the background and of course everything looks so much better when the sun is out. and doesn't life feel good then. We are not likely to leave Wanaka until Weds as there is more bad weather forecast from tomorrow lunchtime and through all day Tuesday and we also need to give Jo's knee some gentle riding around here before heading over to the West Coast. There may be a delay in getting more diary entries e:mailed as I have some doubt as to what the level of mobile coverage is on the West Coast. We may get more bad weather over there (it has a reputation for lots of rain) in which case we can sit in a internet cafe and type it in.    UPDATE 23/2  Those stitches can't come out until the end of this week so says the doctor at the Wanaka Medical centre. We now need to work out what to do.
"
36,"The next Medical Centre after Wanaka, up the West Coast, is at Hokitika or Greymouth which is, would you believe it, about 450-500kms away. We could stay here until Friday or Monday and see the doctor again (and even then he might not take the stitches out) but as much as we like Wanaka we are limited as to what we can do with Jo not being able to manage much more than level walking at the moment. The other variable is that there is some bad weather due tonight and into tomorrow and then it is supposed to turn back into something like 'summer' from late Weds onwards. So we have devised and implemented a master plan, which is............... 1) We are booked into another backpackers nearby for Tuesday night as the one we are in is fully booked. 2) We sit out the bad weather here through Tuesday  3} Jo is booked on a bus on Weds to take her to Franz Josef Glacier (about 280kms away) and is also booked into the Youth Hostel there for 2 nights. 4) I cycle to Franz Josef through Weds & Thurs and possibly into Friday as well depending on my legs and the wind direction. The scenery over to the West Coast and up to Franz Josef is superb even more so if the weather forecast turns out to be correct (you got to have hope). So Jo gets to see it from the bus and I see it somewhat slower 5) We are both booked into the Youth Hostel for Friday & Saturday. Franz Josef will provide a change of scenery and there are some short walks we could probably do there. 6) We then both catch the bus to Greymouth on Sunday and get to see a doctor first thing on Monday morning and hopefully by then get rid of these blasted stitches and get this tour back to something like normality. We shall see by next Monday whether this best laid plan comes to fruition or not. The way things have been going lately though something is bound to crop up to put a spanner in the works. Tuesday 24th Feb - bad weather, what bad weather? We have stopped believing these weather forecasts; the bad wet weather they forecast came through during the night and the only 'bad weather' we got today was the very strong winds, which would have made cycling very difficult in our planned direction so it was a good job I wasn't setting off today. After a cool start it was a nice sunny day but very bracing with the wind whipping up off the lake for our walk of 2hrs+ that we did along the lake shore - flat, so Jo had no problems. Jo also managed to ride her bike today. That shocked you didn't it so perhaps I had better elaborate - she got on her bike (without too much difficulty) and free wheeled the 200 metres down the hill to the other backpackers place we were booked into; not a pedal was turned. We had a real neat bedroom at the Matterhorn South Backpackers; it was a shed in the garden, but this was no ordinary shed - timber lined walls, carpeted, a double bed (that just fitted in), a little built-in wardrobe and storage shelves, a sink with hot water, electric lights and a heater. We loved it; it had been called (lovingly) 'The Hobbitt Hole' by some previous guests.........$50 and it's yours for the night and with very good  facilities in the main building as well, which was all of 3 strides away.    "
37,"       Where else can you start from a beautiful location like Wanaka then ride on the left hand side of one lovely large lake (Lake Hawea) backed with majestic mountains then cross over a smal col and travel on the right hand side of another lovely large lake (Lake Wanaka) backed by even more majestic mountains(snow capped); then head up a broad mountain valley (Makarora) with more snow capped mountains; enter forrested areas (The Mt Aspiring National Park); cross over the main divide of the South Island(Haast Pass at 564 metres) and then drop down to rain forest, wide glacial rivers, waterfalls everywhere and with even higher mountains (with glaciers and even more snow) as a backdrop and then finish by the remote and desolate West Coast.           Words are not strong enough; awesome comes nowhere close and even pictures only tell half the story. All cyclists coming to NZ must not miss out of this route - it's numero uno! Take your time and do it in 2 days with a stop at Makarora, about halfway. I was on a mission so couldn't afford that luxury. Today I saw 10 cycle tourists going in one direction or the other and about another 15 in two separate supported rides and then there were another 5 (2 Canadians, 2 Brits and 1 Austrian) at Haast who had ridden from Makarora  today. The 2 Brits had even sat in Wanaka for nearly a week waiting for good weather to ride it in.  We first did this route in 1999 on an even better day than today (no headwind). Even second time around it's quality has not diminished one iota. I've nothing more to say on the matter otherwise I'll just rabbit on and on about the route. Some other news: The Austrian lad was having some real problems with his rear wheel; broken spokes and then when replaced we couldn't true the wheel up properly because of seized nipples. For answer to this problem see tomorrow's entry. How to recycle a wheel: The Canadians had acquired a front wheel today, couresty of a car driver who had found it; the rim was ruined. However some of the spokes were used to help the Austrian; some other good spokes and the hub were kept by the Canadians. They had no use for the tyre or inner tube (wrong size for them) so they were passed to me. Everybody wins! Jo's story:- The bus trip was an uneventful 5.5hr journey and along with me there were 5 other cyclists, some going to Fox Glacier and the rest to Franz Josef. I had a genuine reason not to be cycling but they were missing out on some of the best cycling on the South Island. Sure it's a hilly route but I've ridden it before and I am in my fifties; why weren't they riding in geat weather like this? We passed Dave alongside Lake Hawea and I got a wave from him. The Youth Hostel at Franz Josef was a lovely place and I got chatting to quite a few interesting people; the time flew by. I got lots of assistance travelling on my own; a young lad getting my bike off the bus and putting the wheel in; a young man at the hostel reception taking my bike round to the bike shed and then carrying my bags to the dormitory; I was standing at the patio entrance wondering which table to sit at and a young man offered to put one of the umbrella's up for me. This is all fantastic but what concerns me is that I don't know if it is because of my injured knee and they have sympathy for me or that they all might be missing their mothers. I think it's a motherly thing because I was allocated by misake a bed in a 4 bed dormitory for the first night and I was sharing it with 3 young lads. The French lad at reception had mistaken the booking as it was made out for Jose, my full name. Anyway, the lads were all as good as gold and looked after me and kept the room very tidy and went to bed without any fuss! I moved to a female dorm the next morning.
"
38,"     A total change scenically from yesterday (weatherwise just as good) and nearly as enjoyable; it was coastline, rain forest, mountains on my right hand side all the way and just a glimpse of snow on the tops from time to time - I don't need glasses to look at the scenery! Only a few steep hills and they came in the first 30kms which was a good job as I had some aching legs today after yesterday's ride so was glad of some gentle riding. The answer to the Austrian's wheel problem was: He disabled the rear brake so the wheel would run without catching; he phones the bike shop in Hokitika (250kms away) but they couldn't provide a a 700c wheel so he finishes up phoning Christchurch (about 500+kms away) and they could. He rides 123kms to Fox Glacier with a front brake only; said it was 'fun' going down the few steep hills - the new wheel is scheduled to arrive at Fox Glacier by bus tomrrow afternoon. Problem sorted!        I phoned the Franz Josef Youth Hostel and left a message to tell Jo that I will be there tomorrow morning for coffee at 11:00hrs - but I didn't tell her about the glasses. In the evening I walked into town to get something for tea; went into the small supermarket but nothing took my fancy so I wandered into the pub (as you do without thinking sometimes) and thought I may get something in there. It was very busy so I had a beer to wait a bit; it was still busy 15mins later so I had another one. Now I had just about spent my dinner budget so I went back into the supermarket bought a yoghurt, a banana and a packet of crisps and went back to the campsite kitchen and ate it all with the last of my bread and cheese and chatted with the others; far more enjoyable than spending mega bucks on a pub meal. Do you think all of that is good fuel for tomorrow though ? - I am not so sure.   "
39,"   Said my goodbyes to the others and I was off just after 09:30hrs for the 25kms to Franz Josef where I had an appointment with a certain lady for coffee at 11:00hrs. Some nice easy recovery cycling I had thought but I had forgotten how hilly this section is - straight from Fox it climbs to get over Cook Saddle then it descends before climbing again to get over Omoeroa Saddle, both longish climbs - this was no easy recovery ride! Especially so as I had to push on in the last 5kms to try and get there for 11:00hrs; I failed by 2 mins and I have to say I was a bit lathered when I arrived - I hate being late for appointments;  it's just shows a certain lack of respect don't you think. The rest of the day was Jo telling me all that had been going on and me trying to keep alert and show an interest; I don't think I impressed her but then I don't think she fully realises that I am a tad tired after the past 3 days. It's definitely far easier for me being in a twosome cycle touring setup as it stops me from thrashing myself silly.  The good news: There is no doctor in Franz Josef (however one visits every monday if you are prepared to wait untl then) but there is a district nurse so Jo went off there just to see about getting the dressing changed and came back with the stitches out and a new dressing. I hope she doesn't want to go cyclng tomorrow; I may need some more rest. I was laid down this afternoon trying to do just that and the fire alarm went off so we all had troop outside; it was a false alarm. Jo going to the nurse and getting her stitches out unexpectedly has thrown the Tour Leader's plans into disarray. Previously we had a booked a bus on Sunday to take us to Greymouth and also booked some accommodation there; Greymouth was where we initially intended getting the stitches out. After a brief committee meeting we have decided to stick with these travel plans and start our cycling again from Greymouth.  Question: Do you know what the problem is with having fine weather at Fox & Franz Josef Glaciers? Answer: It's the constant noise from dawn to dusk of helicopters and light aircraft flying with tourists to and from Mt Cook & the glaciers as they take every opportunity to make some bucks before the next batch of bad weather arrives, which it tends to do with alarming regularity here on the wet & wild West Coast.   Saturday 28th Feb - no helicopters today Good job that we planned today as a go nowhere day as we got some real heavy downpours at times (the weather forecast was spot on) We wandered down to the cafe and shops (twice) and that just about sums up today. How to get a doctor's appointment at Franz Josef: There is a piece of paper with a list of times (for a Monday only of course) outside the community hall. You pick your time and write your name down next to it. As of today nobody had put their name down; must be a healthy lot around here. Apart from the tourists that is; the district nurse said her busiest time is late afternoon when the groups come back down from glacier walking - a twisted knee here, a sprained ankle there, here a bruise, there a cut, everywhere a ........................    The Youth Hostel has a stock of umbrellas in the entrance for you to use; that shows just how much it can rain around here. We were sat in the lounge area and there was a girl walking up the street to the hostel in the pouring rain, dragging one of those umbrellas behind her; all  twisted and bent. She must have encountered one of the gusty winds we have been getting; she has got some explaining to do to the hostel staff. 'Well, it was like this, you see.................... And talking about the rain: The rain today was like taking a variable shower; most of the time it was on a gentle level 2 or 3 but then without warning we would get a short burst (5 to 15mins) on a level 9 or 10 as though somebody had suddenly yanked the shower lever right round to the top. That was ok when we were indoors looking out and saying glad we are not outside in that. The big risk when outside was you could start, to say, cross the road and before you got to the other side you would get a level 9 or 10 thrown down on you. Believe us; an umbrella in that situation is of no use whatsoever - you get wet from the ground up!
"
40,"A lazy day doing nothing much in the morning, apart from a short bush walk, a coffee, a visit to the Information Centre and also to the Internet place. It was raining again (now there's a suprise), heavy at times - it was that turning on and off of the shower once more. We had thought about going up to see the glacier and considered the following options:- 1: Walk there and back(that's about 10kms)    Conclusion: a daft idea in this weather 2: Ride there and back     Conclusion: crazy idea as it's on a gravel road which will be wet and    slippy and it's far too soon for Jo 3: Get a shuttle bus which costs $10 each return    Conclusion: the craziest idea of them all as that involves expenditure. Overall conclusion: Why bother as we have seen it before in 1999 in better weather than this. A far better idea would be in to sit in the Youth Hostel lounge, read our books, have some lunch, have a cup of tea, be nice and warm and dry and wait for our bus, due at 15:00hrs. Which is exactly what we did. As well as us on the Atomic Shuttle Bus there were already 4 other bikes on going up to Greymouth, including a Belgian couple with young twins. We did see some brief brightness on the 2.5hr journey but when we arrived there Greymouth was decidingly grey and wet and down in the mouth so we were glad that we had rung ahead and booked a cabin at the Caravan Park - a tent was not so appealing in this sort of weather; particularly our tent with it's iffy floor.    Luckily the supermarket was only a short walk away so we were able to get something for tea and also a bottle of wine to celebrate.....................???? Monday 1st March - First day of Autumn & first day for a while that Jo gets out on her bike. The first day of Autumn and it's still raining but only off and on for the morning and nothing heavy. Then, by early afternoon we got some blue skies and it was nice and warm (only just though) with just a light breeze - and about time too! Some heavy rain returned in the evening just to confirm what the weather people said on the news:- 'this has been the wettest and windiest February since records began 150 years ago' However, all is not lost as it looks like warm, sunny weather from late tomorrow for a few days at least  We got out on the bikes and did 40kms after lunch up the valley and back to test Jo's knee out; there was no reaction and that included going up a couple of hills which is all good news. The only thing now is to get back 2+ weeks of lost fitness; we shall be taking it relatively easy over the next few days. Important expenditure made today:- We went to The Warehouse in town (remember?.....'where everbody gets a bargain') and I got myself another pair of reading glasses. Inflation had taken hold since my last pair and I had to pay $10 and another $5 for a case. On that cost basis this pair will have to last me 5 years if they are to be of  the same value as the last pair - there's absolutely no chance of that happening.      Conversation overheard by Jo in campsite kitchen: Old Chinese Man: 'Hello, where you from?' Other Old Oriental Man: 'Viet-Nam' Old Chinese Man: 'Ah, Viet-Nam................'How you get here?' ...... Pause Other Old Oriental Man: 'By Plane' "
41,"1 - If it was an earthquake then being outside was really no safer than being in his van. 2 - I'm the only one stood outside in the pouring rain. That story was going the rounds at breakfast time - poor guy.    The rain had stopped by early morning and we awoke to some bright skies and with a dry day forecast and a southerly wind (we were going north) things were looking up. We weren't going far today so we had a lazy start and didn't leave Greymouth itself until after 11:00hrs.      This section of the West Coast from Greymouth towards Westport is very picturesque as the road runs for a lot of the way between the bush forested hills on one side and  the sea on the other with the waves crashing onto the shore. The road dips and rises quite a bit but that provided some excellent viewpoints. We were stopping at regular intervals just to; admire the view, take a picture or two and make sure Jo's knee was ok and she wasn't over doing it - no problems there at all.     Punakaiki is more commonly know as 'Pancake Rocks'; it's a small hamlet with various accommodation types, including a campsite by the beach where we were staying; a Visitor's Centre and cafes which all serve the local attraction of the Rocks. I am sure they have got some fanciful geological history but essentially they are some unique stratified limestone rocks which look like pancakes piled on top  of each other (using your imagination of course). The big attraction though are the blowholes which at high tide with a south westerly wind blowing can be quite impressive - well, they were on our visit in1999. On the campsite with us was a local rural school outing; the whole school, all 50 kids (ages from 5 to11yrs), 3 teachers and 22 parents just having a few days away together - they were having a great time; something that you couldn't quite get with a larger school. Unfortunately their school is under threat as part of a nationwide education reform that's going on at the moment which will ultimately result in the closure of a lot of the smaller, rural schools - a shame.       High tide was at 20:20hrs so we walked back up to Pancake Rocks to see if the blowhole was showing off; it was but only a little bit, the wind needed to be stronger and in a slightly different direction so it could whip the waves up. The evening light was good though and the rocks area and coastline was quite photogenic.It was dark by 20:30hrs so rather than go straight back to the campsite we diverted via the local pub and had a couple of jugs of Monteith's Black (brewed in Greymouth and an  excellent drop) - went down a treat. There is no shop in Punakaiki, the cafe has some basic foodstuffs but if you want some milk after the cafe has closed for the day then the pub is your answer. Somebody did just that whilst we were there. 'Jug of Monteith's Black and a litre of low fat milk please' 'Do you want a glass for the milk or is it to takeaway?' Geological update: According to the signs at the Rocks the scientific boffins are at a bit of a loss as to exactly how these limestone rocks formed. The only thing they seem to agree on is that there was a secondary process involved called 'stylobedding'  - and we thought that was a mattress making company. So now you know."
42,"     We left late again, about 10:00hrs and took our time initially as we were stopping regularly whilst we were alongside the sea. Eventually we had to climb away inland, say our goodbyes to the West Coast, and tackle the ups and downs to Charleston for a lunch stop - the only facilities on the way to Westport. There were a few more bumps before things levelled out for the last 10kms or so into Westport and by the afternoon, out of the breeze the sun was lovely and warm; people sat outside their vans and and cabins soaking it up. It's not been like this since January! Quite a number of other cyclists on the campground by the end of the day; an American couple from Oregon, a French couple on recumbents, towing 2 Rann Trailers with 2 small children - with a sign saying they were on a World Tour and one other solo guy who we saw arrive but never saw again. "
